,text,target
3260,"Injuries reported after 6 . 3  # earthquake hit along  # Pakistan - India border .  Reportedly, Azad  # Jammu and  # Kashmir are badly effected, as well as Indian occupied Kashmir but no news coming out due to communication blackout imposed by India .  4 died, 50 injured",3.0
1343,RT  @ Rosa_Camm :  Help us People !   # protezionecivile  # prayforItaly  # amatrice  # CentroItalia  # TerremotoItalia,0.0
5796,RT  @ GMA :  Drone footage shows collapsed roadway in Ecuadors largest city after 7 . 8 - magnitude quake : ,3.0
2193,"Remarkably, this is the sum total of  # eqnz damage at our place :  a smashed kina .  Feeling very fortunate . ",3.0
3973,RT  @ Turkey_Istambul :  The issue of Kashmir is not only a matter of  # Pakistan but of the whole Muslim world  # TurkeyPakistanBrotherHood  @ ali,0.0
5462,Comissions taken since today well be part donation to help the rescue teams on Mexico and other cities because of the earthquake !  Thanks ! ,0.0
1151,RT  @ SkyNewsBreak :  Italian authorities say the number of people killed in the earthquake has risen to 290 as bodies continue to be recovered,3.0
3611,"Upset to see imagery of damage resulting from the  # earthquake in Azad Kashmir where casualties and hundreds of injuries have been reported .  As citizens, we must do all we are capable of to assist our brethren in need .  May the suffering families soon find relief ὤF",3.0
6058,RT  @ BuzzFeedNews :  Officials :  The death toll in the Ecuador earthquake is now 77 .  Another 588 are injured . ,3.0
4165,RT  @ DreadThanatos :  I hope everyone is fine in Pakistan .   # earthquake,0.0
6323, (  # Los Del Sonido )  Death Toll in Ecuador Rises to 233 After Earthquake :  Thousands of armed forces personnel were dispatche  (  # Ivan Berroa ) ,3.0
6052,RT  @ KQEDnews :  Hundreds Killed as 7 . 8 Quake Devastates Ecuadors Coast,3.0
3744,"Ya Allah khair, hopes and prayer for everone to stay safe may Allah almighty protect us and  # Mirpur  # earthquake",0.0
3847,May ALLAH help us  !   # earthquake,0.0
4806,RT  @ tiesto :  ❤️❤️ RT  @ 1027KIISFM :  Hero Dog Has Been Rescuing Earthquake Victims in Mexico,0.0
2541,"I cant believe people are asking for specifics  -  IF YOU LIVE ON THE EAST COAST OF NZ, MOVE TO HIGHER GROUND !   # eqnz  # earthquake  # nz",3.0
4557,RT  @ ABC7 :  Mexico earthquake :  LA - based nonprofit COFEM launches fundraiser to help relief efforts,0.0
2164,"Please donate to our special earthquake appeal .  Help your neighbours, friends  &  fellow Kiwis   # eqnz",0.0
4719, @ jenniferniven can u help RT this link with a list of charities to help victims of the  # earthquake in  # Mexico Please ? ,0.0
5627,RT  @ CanadianPM :  Canada sends its deepest condolences to the loved ones of victims of last nights horrific earthquake in Ecuador . ,0.0
5091,Hundreds of cyclists are helping earthquake victims in CDMX My report for  @ cyclingtips Photos by  @ ClaytonTConn,0.0
2958,Broken roads and buckled buildings  -  weve been to one of the towns at the centre of NZ earthquakes for  @ BBCWorld and  @ BBCBreakfast  # eqnz,3.0
3218,"Many roads are damaged in Mirpur after deadly  # earthquake, now to avoid any delays only option left with our Pak Army is to airdrop 500 fighters in  # Kashmir .  I request Pak govt to immediately repair those roads as travelling on road is much cheaper than airdropping mujhahids . ",3.0
3648,Sad news coming from home  :  /  More than 400 people injured and more than 20 casualties reported as a 5 . 8 magnitude earthquake shook Northern Pakistan .   # IJ1920  # JSP1920,3.0
6081,Drone footage reveals full extent of Japan earthquake damage : ,3.0
3483,As more information is coming in about earthquake north of Jhelum in  # Pakistan I regret very much to hear reports from Media and State Disaster management authority on 4 deaths and 100 injured . ,3.0
4440,"Lady Gaga will be donating  $ 1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake . ",0.0
1002,RT  @ JON_D84 :  Is anyone aware of any local Italian charities helping the earthquake victims  # TerremotoItalia  # ItalyEarthquake  @ Massimiliano5,0.0
6337,Massive earthquake strikes Ecuador killing dozens,3.0
2592,Just what we need .  Rain and gale force winds .   # earthquake  # eqnz,0.0
3325,The place is Kashmir .  EarthQuake happened today .  May Allah protect us .   # SafeEveryOne  # Kashmir  # Earthquake,0.0
2646,Are there tsunami sirens or evacuations happening in Auckland ?  Especially Maraetai and Beachlands ?   # eqnz,3.0
1334,RT  @ PetesWire :  Prayers in  # Bostons  # NorthEnd for the victims of devastating  # ItalyEarthquake .   # FOX25,0.0
4785,"A strong earthquake in Mexico has left more than 200 dead, including 22 children whose bodies were found in a collapsed school . ",3.0
3713,The damage in Mirpur AK .   # earthquake  # BreakingNews,3.0
6554,"RT  @ TheEarthStory :  Collapsed road / bridge here on top of cars from the  # Ecuador  # quake, reminds of the 1989 freeway collapse",3.0
4726,"RT  @ RealGDT :  Tonight, at AGO I will suggest 2 or 3 donation links for Mexicos earthquake relief fund .  I have been -  and will continue -  doi",0.0
2400,Reading that theres a higher chance now of another big earthquake soon isnt comforting + the impending storms !  Stay safe everyone  # eqnz,0.0
5324,RT  @ HumanityRoad :   # MexicoEarthquake Volunteers needed in  # Morelos .   # sismoMX  # hmrd,0.0
3882,Please remember and pray for borthers and sisters who are effected of  # earthquake  .  It was such massive earthquake . ,0.0
6456,RT  @ RitaGonzalezMIA :  My thoughts and prayers for the victims of  # EcuadorEarthquake  .  The world is with you !  Be strong ! ,0.0
6506,Prayers for the victims of Ecuador Earthquake from Pakistan . ,0.0
3561,Yet no strict punishment for rapists and child abusers .  Yet murderers are set free .   # SialkotBrothers  # Salahuddin  # kasurchildren May Allah forgive our sins and help us bring justice in our society .   # earthquake,0.0
4599,"RT  @ BestShawn2 :  The Mendes Army has lost 2 fans today in the earthquake in Mexico ἟2἟D, we send or love and prayers to the families",3.0
183,  #  raining   #  flooding   #  Florida   #  TampaBay   #  Tampa 18 or 19 days  .   I have lost count ,0.0
946,"RT  @ trinlaurel :  I love Italy so much, this is heartbreaking  # PrayForItaly I hope there are no victims",0.0
4855, @ Vikings  @ RandyMoss  # EarthquakeMexico  # VikingsArroundTheWorld How to help earthquake victims in Mexico  @ CNNI,0.0
6435,"RT  @ jamiemosby :  My heart hurts for the victims of the earthquake and their families, keeping Ecuador in my thoughts and prayers",0.0
1101,RT  @ HandShakeVanc :  Yes very very  # sad .   # ItalyEarthquake  # italy  # earthquake  # help,0.0
6390,"RT  @ NBCNews :  BREAKING :  Ecuador earthquake death toll climbs to 233, president says",3.0
3703,Woke up n read the news of  # earthquake may Allah keep us all in his protection  # Kashmir,0.0
2877,"RT  @ Tui_Tech :   # Newshub is on air again now on this mornings M7 . 5 quake  &  tsunami warning, then  # PaulHenry will be on at the earlier time o",3.0
1208,RT  @ CNNnewsroom :   # ItalyEarthquake :  Rescuer trying to comfort woman trapped beneath rubble,0.0
3379,This is insensitive and insulting to the victims of  # earthquake .  Only a heartless  &  ruthless piece of sh *  *  would make fun of such a tragedy .  Shame,0.0
3021,RT  @ ZarbeKaleemi :   @ OfficialDGISPR Thank you  # PakistanArmy for your prompt action for rescuing the victims of earthquake in  # AJK  # earthquake,0.0
723,"RT  @ 1NewsNZ :  Roads, rail and ports :  What you need to know a day after the earthquake : ",0.0
1017,RT  @ 923AmpRadioRico :  8 Year old pulled alive from  # ItalyEarthquake rubble by rescue crews .  Thanks to God alone .  Amazing . ,0.0
5509,RT  @ DavidPapp :  The Mexico City Earthquake Is a Warning for Americans,3.0
3437,"Today’s earthquake has forced me to rethink about how unpredictable life is .  Resting comfortably in my bed one second, rushing out of the house the other .  May Allah bless us all .  Condolences to those affected by this terrifying anger of the land .   # Earthquake  # earthquakeinpak",0.0
352,If I get run over by an ambulance am I lucky  ?     #  justsaying   #  randomthought,0.0
936,reato di disastro colposo some recently built buildings are being investigated for irregularities  # ItalyEarthquake,3.0
6395,Deadly earthquake hits Ecuador :  Ecuadors strongest earthquake in decades kills at least 41 people and causes,3.0
4944,RT  @ Cihuacohuatl :   # Mexico City’s Massive  # Earthquake Leaves Over 200 Dead :  Here’s How to Help  via  @ voguemagazine,3.0
758, # eqnz ChCh Operations Centre now activated fully,0.0
3638, # Mirpur  # AJK  # Earthquake  -  Update  # NDMA  ( 25 SEP  /  1215 hrs )   -  20 PAK Army machines working  -  16 local machines working  -  Pak Armys Medical team to reach today  -  200 family tents  &  kitchen sets to operational today  # PakistanEarthquake  # EarthquakeInPakistan,0.0
4222,Visuals from outside of district headquarter hospital Mirpur .  Thoughts and prayers with those lost lives or injured due to intense  # earthquake Courtesy  @ JammuKashmirTV,0.0
3245,Thanks for raising  # Kashmir issue and supporting  # Pakistan .   # OurVoiceErdogan,0.0
4417,Earthquake Mexico  |  Pray For Mexico  via  @ YouTube  # MexicoQuake  # MexicoCityearthquake  # mexicoearthquake  # MexicoStrong,0.0
4465,"A great way to help victims of Mexicos earthquake is donating to  @ topos , expert rescuers who work to save these trapped under the rubble . ",0.0
3884,"At least 19 people were killed and over 120 others injured on Tuesday after a 5 . 8 - magnitude  # earthquake hit Mirpur district of Pakistan - controlled  # Kashmir, according to local police",3.0
3506,One of my friend once told me Zameen masoom ka khoon maaf nai karti Pray for Everyone ! ὤ7‍♀️  # earthquake  # KashmirUnderThreat,0.0
5790,"Quake kills 272 along devastated Ecuador coast   |  etribune, Sports",3.0
4022,Pakistan Army chief General Bajwa visits areas affected by earthquake  # coasbajwa  # earthquake  # ispr,0.0
330,Experts in France begin examining airplane debris found on Reunion Island  :   French air accident experts on Wedn  .    .    .   ,0.0
1150,The number of people dead because of the earthquakes has gone up to 247 My heart hurts ἞E἟9Ὁ4  # ItalyEarthquake,3.0
3639,RT  @ nailainayat :  The damaged Jatlan road in Mirpur .   # earthquake,3.0
3297,What about IoJK sir ?  We dont know what has happened there ?  Total communication blackout .  Will Indian Army help them ?  How can killers help ?   # earthquake,0.0
4099, # earthquake May Allah ( SWT )  save People a Severe Earthquake cause 50 wounds .  AjK is badly Damage but due to mercy of Allah no one is died until so far . ,3.0
1839,RT  @ corinneambler :  MEDIA RELEASE from  @ NZRedCross  -  Red Cross responding after earthquakes   # eqnz  # NewZealand  # RedCr,0.0
1102,"RT  @ SputnikInt :  URGENT :  Death toll in  # ItalyEarthquake rises to at least 159, officials confirm . ",3.0
6186,Condolences to victims of earthquake in Ecuador from John Kerry . ,0.0
564,"After death of Palestinian toddler in arson
attack Israel cracks down on Jewish",0.0
4054,Situation after earthquake in Jhelum .  Please pray for effected  # earthquake,0.0
1828,RT NelsonTasmanCD Threat downgraded  -  please stay out of the water until it is cancelled .   ^ RL,3.0
1400,RT  @ nfspplay :   # PrayForItaly  # Terremoto  # Earthquake Hoy todos somos Italia .  Today we are all Italy .  ὢ2,0.0
880,RT  @ xinjavaddsarms :  Please everyone donate to 45500 Please Its important Help families Who need it  # PrayForItaly,0.0
6524," @ ZoiePalmer please Zoie, we need to unite in a prayer chain for Ecuador, for this terrible supernatural event .   # PrayForEcuador",0.0
4035,"This is 24 year old Mudasir .  He was fired at by Indian soldiers, before being dragged down a lane by numerous soldiers who brutally beat and tortured him .  This is just one of many cases .   # Kashmir  # Free Kashmir  # KashmirBleeds  # RedForKashmir  # ImpeachTheMF  # India  # Pakistan  # UNGA",0.0
5148,RT  @ francoisvolet :  RT PLEASE  # Earthquake in  # Mexico :   # Juchitan !   # HELP  # DONATE  # SOLIDARITY its the last day and we are almost there,0.0
1064,RT  @ JulofMarseille :  My thoughts and prayers go out to the victims of the earthquake  # ItalyEarthquake .  God bless everyone  !   # loveitaly,0.0
5354,"RT  @ nytimes :  Anxiety pervades Mexico City after the earthquake that killed at least 318 people and damaged 4,000 buildings",3.0
2885,Thoughts and prayers to everyone around the affected areas .  Stay safe !   # eqnz,0.0
410,"ANNIHILATED IN DAMASCUS  :   SYRIAN ARMY GRINDS ALLOOSH AND HIS GANG INTO THE MANURE PILE
",0.0
2667,Im getting major flashbacks from the 2008 movie aftershocks man omg  # eqnz,0.0
5807,RT  @ grabiel_ch :  You can provide real help to the victims of the  # EcuadorEarthquake by donating directly to the Ecuadorean Red Cross :   : ,0.0
3079,Official reports confirms 20 casualties and more than 100 injured .  These images of Property and Infrastructure loss shows the intensity of the  # Earthquake  # EarthquakeinPakistan,3.0
2895, # Queenstown community thoughts are with those  # earthquake affected in  # Wellington  # Christchurch  # Cheviot  # Kaikoura  # NewZealand  # EQNZ,0.0
4327, @ LACo_FD  @ LACoFDPIO  @ searchdogfdn Noses are also for saying hello !  ἟A἟8 dog Tanker greets ἟2἟D dog Maxim .  Both are working on  # MexicoEarthquake /  # FuerzaMéxico response efforts . ,0.0
617,Stay vigilent  .   Civil liberties are under constant attack  .     #  nativehuman   #  myreligion  ,0.0
4792,"After a deadly earthquake hit Mexico, people took to social media to show solidarity  # FuerzaMexico  # FollowtheHashtag By  @ CMachhaus . ",0.0
5614,RT  @ mercealvaro :   # Ecuador  # Quake Death Toll Rises as World Leaders Offer Support  vía  @ business,3.0
1289,Our thoughts are with  # Italy in this difficult time  # earthbrake  # prayforitaly  # ENTER2017,0.0
0,"A 4  .  6 magnitude   #  earthquake occured at 149 km NNW of Tobelo, Indonesia  .   See the full report at  :  … ",1.0
1,"A 2  .  7 magnitude   #  earthquake occured at 18 km E of Naalehu, Hawaii  .   See the full report at  :    ",1.0
6,"A 2  .  2 magnitude   #  earthquake occured at 2 km WSW of Indios, Puerto Rico  .   See the full report at  :  … ",1.0
9,The quake occurred around 13  :  06 p  .  m  .   local time   (  0606 GMT  )    .   The quake was revised down from an initial magnitude of…,1.0
12,"A 5  .  5 magnitude   #  earthquake occured at 143 km NW of Tobelo, Indonesia  .   See the full report at  :  … ",1.0
13,5  .  37 earthquake occurred near Northern Molucca Sea at 08  :  01 UTC  !     #  earthquake   #  NorthernMoluccaSea,1.0
22,4  .  4 earthquake occurred 59km al O de Tongoy at 07  :  29 UTC  !     #  earthquake,1.0
24,"A 2  .  7 magnitude   #  earthquake occured at 24km NNW of Tehachapi, CA  .   See the full report at  :    ",1.0
26,"A 4  .  8 magnitude   #  earthquake occured at 159 km NW of Tobelo, Indonesia  .   See the full report at  :  … ",1.0
27,"A 2  .  0 magnitude   #  earthquake occured at 11km NNW of Cholame, CA  .   See the full report at  :    ",1.0
28,4  .  0 earthquake occurred near Molucca Sea at 07  :  18 UTC  !     #  earthquake   #  MoluccaSea,1.0
29,4  .  5 earthquake occurred near Molucca Sea at 07  :  20 UTC  !     #  earthquake   #  MoluccaSea,1.0
31,"A 2  .  1 magnitude   #  earthquake occured at 67 km N of Petersville, Alaska  .   See the full report at  :  … ",1.0
34,"A 2  .  2 magnitude   #  earthquake occured at 10km SSW of Manton, CA  .   See the full report at  :    ",1.0
37,4  .  8 earthquake occurred near Molucca Sea at 07  :  00 UTC  !     #  earthquake   #  MoluccaSea,1.0
38,"4  .  3 earthquake occurred 66km al SUR de  TECPAN, GRO at 06  :  34 UTC  !     #  earthquake ",1.0
39,4  .  3 earthquake occurred near Molucca Sea at 06  :  52 UTC  !     #  earthquake   #  MoluccaSea,1.0
40,A 2  .  7 magnitude   #  earthquake occured at Puerto Rico  .   See the full report at  : ,1.0
41,4  .  0 earthquake occurred near Molucca Sea at 06  :  42 UTC  !     #  earthquake   #  MoluccaSea,1.0
42,Earthquake,1.0
43,4  .  4 earthquake occurred near Molucca Sea at 06  :  33 UTC  !     #  earthquake   #  MoluccaSea,1.0
44,4  .  2 earthquake occurred near Molucca Sea at 06  :  34 UTC  !     #  earthquake   #  MoluccaSea,1.0
45,4  .  4 earthquake occurred near Molucca Sea at 06  :  28 UTC  !     #  earthquake   #  MoluccaSea,1.0
46,"A 2  .  6 magnitude   #  earthquake occured at 39 km SSE of Cantwell, Alaska  .   See the full report at  :  … ",1.0
47,"M7   #  EARTHQUAKE  !   154 KM NW OF TOBELO, INDONESIA  
DEPTH  :   47  .  994 KM AT 2023  -  0  -  3 1  :  6  :  13  .  707 UTC VIA   @  EQTW ",1.0
48,"A 7  .  0 magnitude   #  earthquake occured at 154 km NW of Tobelo, Indonesia  .   See the full report at  :  … ",1.0
49,4  .  8 earthquake occurred near Molucca Sea at 06  :  21 UTC  !     #  earthquake   #  MoluccaSea,1.0
51,"A 3  .  3 magnitude   #  earthquake occured at 2 km SW of Fern Forest, Hawaii  .   See the full report at  :  … ",1.0
52,4  .  49 earthquake close to New Zealand at 06  :  14 UTC  !     #  earthquake   #  NewZealand,1.0
